縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",3月底        在養數(隻)
新北市,664,559,84.19%,0,0.00%,33,4.97%,"1,508 "
臺北市,297,248,83.50%,9,3.03%,12,4.04%,657 
臺中市,500,317,63.40%,9,1.80%,56,11.20%,674 
臺南市,611,761,124.55%,0,0.00%,71,11.62%,689 
高雄市,577,336,58.23%,0,0.00%,38,6.59%,800 
桃園市,189,278,147.09%,2,1.06%,13,6.88%,240 
宜蘭縣,166,69,41.57%,21,12.65%,31,18.67%,398 
新竹縣,56,48,85.71%,0,0.00%,0,0.00%,29 
苗栗縣,116,75,64.66%,0,0.00%,9,7.76%,68 
彰化縣,46,37,80.43%,0,0.00%,9,19.57%,108 
南投縣,54,42,77.78%,0,0.00%,7,12.96%,259 
雲林縣,115,45,39.13%,0,0.00%,1,0.87%,96 
嘉義縣,34,25,73.53%,0,0.00%,3,8.82%,83 
屏東縣,132,105,79.55%,0,0.00%,39,29.55%,155 
臺東縣,147,147,100.00%,0,0.00%,0,0.00%,2 
花蓮縣,99,44,44.44%,0,0.00%,8,8.08%,77 
澎湖縣,21,36,171.43%,0,0.00%,1,4.76%,78 
基隆市,69,59,85.51%,0,0.00%,4,5.80%,106 
新竹市,18,27,150.00%,0,0.00%,1,5.56%,99 
嘉義市,76,48,63.16%,0,0.00%,16,21.05%,30 
金門縣,61,35,57.38%,0,0.00%,2,3.28%,49 
連江縣,0,1,0.00%,0,0.00%,1,0.00%,31 
合計," 4,048 "," 3,342 ",82.56%, 41 ,1.01%, 355 ,8.77%," 6,236 "
