縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",6月底        在養數(隻)
新北市,714,672,94.12%,0,0.00%,42,5.88%,"1,685 "
臺北市,317,237,74.76%,30,9.46%,11,3.47%,725 
臺中市,590,408,69.15%,1,0.17%,75,12.71%,968 
臺南市,728,564,77.47%,0,0.00%,53,7.28%,755 
高雄市,329,360,109.42%,3,0.91%,26,7.90%,539 
桃園市,334,215,64.37%,1,0.30%,37,11.08%,384 
宜蘭縣,112,81,72.32%,4,3.57%,9,8.04%,312 
新竹縣,61,47,77.05%,0,0.00%,3,4.92%,46 
苗栗縣,155,151,97.42%,2,1.29%,6,3.87%,100 
彰化縣,91,70,76.92%,0,0.00%,7,7.69%,136 
南投縣,49,29,59.18%,0,0.00%,6,12.24%,286 
雲林縣,54,12,22.22%,0,0.00%,9,16.67%,157 
嘉義縣,36,11,30.56%,0,0.00%,3,8.33%,103 
屏東縣,94,78,82.98%,0,0.00%,20,21.28%,154 
臺東縣,101,103,101.98%,0,0.00%,1,0.99%,9 
花蓮縣,50,31,62.00%,1,2.00%,10,20.00%,96 
澎湖縣,75,17,22.67%,9,12.00%,6,8.00%,112 
基隆市,70,67,95.71%,0,0.00%,12,17.14%,106 
新竹市,47,44,93.62%,0,0.00%,1,2.13%,97 
嘉義市,80,68,85.00%,0,0.00%,3,3.75%,55 
金門縣,46,16,34.78%,0,0.00%,1,2.17%,56 
連江縣,2,0,0.00%,0,0.00%,1,50.00%,35 
合計," 4,135 "," 3,281 ",79.35%, 51 ,1.23%, 342 ,8.27%," 6,916 "
