縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,617,158,26%,550,0,0%,26,4%,"1,279"
2. 臺北市,282,10,4%,32,0,0%,7,2%,"1,188"
3. 臺中市,673,6,1%,203,1,0%,69,10%,831
4. 臺南市,682,123,18%,399,0,0%,20,3%,466
5. 高雄市,398,22,6%,371,0,0%,16,4%,701
6. 桃園市,420,65,15%,239,1,0%,13,3%,432
7. 宜蘭縣,71,3,4%,49,5,7%,7,10%,241
8. 新竹縣,36,11,31%,32,0,0%,1,3%,39
9. 苗栗縣,76,0,0%,36,4,5%,13,17%,83
10. 彰化縣,47,17,36%,33,0,0%,0,0%,121
11. 南投縣,29,5,17%,36,0,0%,1,3%,310
12. 雲林縣,63,5,8%,46,0,0%,3,5%,339
13. 嘉義縣,16,4,25%,10,0,0%,2,12%,104
14. 屏東縣,19,4,21%,6,0,0%,0,0%,83
15. 臺東縣,62,9,15%,55,0,0%,0,0%,21
16. 花蓮縣,27,3,11%,22,0,0%,1,4%,99
17. 澎湖縣,39,2,5%,30,1,3%,8,21%,104
18. 基隆市,54,1,2%,23,0,0%,4,7%,93
19. 新竹市,27,3,11%,23,1,4%,1,4%,71
20. 嘉義市,34,2,6%,27,0,0%,2,6%,34
21. 金門縣,60,2,3%,29,0,0%,2,3%,62
22. 連江縣,0,0,0%,2,0,0%,0,0%,34
總計,"3,732",455,12%,"2,253",13,0%,196,5%,"6,735"
