縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","人道處理數
(隻)","人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",1月底        在養數(隻)
新北市,467,421,90.15%,0,0.00%,29,6.21%,"1,463 "
臺北市,214,155,72.43%,22,10.28%,12,5.61%,644 
臺中市,393,373,94.91%,37,9.41%,31,7.89%,375 
臺南市,580,518,89.31%,0,0.00%,66,11.38%,875 
高雄市,422,254,60.19%,0,0.00%,28,6.64%,623 
桃園市,444,443,99.77%,3,0.68%,37,8.33%,419 
宜蘭縣,182,67,36.81%,34,18.68%,19,10.44%,464 
新竹縣,25,32,128.00%,24,96.00%,4,16.00%,29 
苗栗縣,85,63,74.12%,3,3.53%,3,3.53%,59 
彰化縣,100,63,63.00%,44,44.00%,35,35.00%,108 
南投縣,46,49,106.52%,0,0.00%,12,26.09%,257 
雲林縣,55,78,141.82%,6,10.91%,0,0.00%,3 
嘉義縣,57,40,70.18%,13,22.81%,14,24.56%,76 
屏東縣,172,85,49.42%,33,19.19%,0,0.00%,176 
臺東縣,83,82,98.80%,1,1.20%,0,0.00%,1 
花蓮縣,62,131,211.29%,1,1.61%,6,9.68%,0 
澎湖縣,45,58,128.89%,0,0.00%,1,2.22%,91 
基隆市,68,48,70.59%,0,0.00%,5,7.35%,109 
新竹市,35,34,97.14%,0,0.00%,5,14.29%,133 
嘉義市,54,73,135.19%,36,66.67%,2,3.70%,0 
金門縣,98,23,23.47%,44,44.90%,1,1.02%,24 
連江縣,0,0,0.00%,0,0.00%,2,0.00%,34 
合計," 3,687 "," 3,090 ",83.81%, 301 ,8.16%, 312 ,8.46%," 5,963 "
