縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",4月底        在養數(隻)
新北市,593 ,453 ,76.39%,0 ,0.00%,23 ,3.88%,"1,246 "
臺北市,280 ,291 ,103.93%,2 ,0.71%,15 ,5.36%,741 
臺中市,516 ,246 ,47.67%,7 ,1.36%,58 ,11.24%,625 
臺南市,588 ,359 ,61.05%,0 ,0.00%,16 ,2.72%,435 
高雄市,362 ,287 ,79.28%,0 ,0.00%,16 ,4.42%,755 
桃園市,197 ,174 ,88.32%,7 ,3.55%,12 ,6.09%,361 
宜蘭縣,69 ,39 ,56.52%,0 ,0.00%,9 ,13.04%,223 
新竹縣,33 ,27 ,81.82%,0 ,0.00%,3 ,9.09%,37 
苗栗縣,56 ,45 ,80.36%,1 ,1.79%,3 ,5.36%,93 
彰化縣,25 ,23 ,92.00%,0 ,0.00%,0 ,0.00%,107 
南投縣,30 ,34 ,113.33%,0 ,0.00%,1 ,3.33%,318 
雲林縣,51 ,61 ,119.61%,0 ,0.00%,14 ,27.45%,327 
嘉義縣,21 ,12 ,57.14%,0 ,0.00%,2 ,9.52%,101 
屏東縣,28 ,8 ,28.57%,0 ,0.00%,0 ,0.00%,180 
臺東縣,39 ,45 ,115.38%,0 ,0.00%,1 ,2.56%,15 
花蓮縣,25 ,24 ,96.00%,0 ,0.00%,0 ,0.00%,95 
澎湖縣,21 ,33 ,157.14%,1 ,4.76%,8 ,38.10%,107 
基隆市,54 ,59 ,109.26%,0 ,0.00%,2 ,3.70%,61 
新竹市,14 ,11 ,78.57%,0 ,0.00%,9 ,64.29%,83 
嘉義市,23 ,14 ,60.87%,0 ,0.00%,0 ,0.00%,29 
金門縣,56 ,17 ,30.36%,0 ,0.00%,1 ,1.79%,60 
連江縣,5 ,1 ,20.00%,0 ,0.00%,0 ,0.00%,36 
合計,"3,086 ","2,263 ",73.33%,18 ,0.58%,193 ,6.25%,"6,035 "
