縣市別,當月收容隻數,當月收容被認領養數,當月收容被認領養率,總認領養數,依法人道處理數,依法人道處理率,所內死亡數,所內死亡率,月底在養數
1. 新北市,559,338,60%,478,0,0%,38,7%,1298
2. 臺北市,189,21,11%,24,0,0%,6,3%,1302
3. 臺中市,643,59,9%,253,0,0%,65,10%,932
4. 臺南市,651,220,34%,328,0,0%,19,3%,675
5. 高雄市,282,110,39%,201,0,0%,14,5%,752
6. 桃園市,343,99,29%,166,2,1%,11,3%,449
7. 宜蘭縣,100,30,30%,77,9,9%,9,9%,299
8. 新竹縣,29,17,59%,22,0,0%,1,3%,41
9. 苗栗縣,142,8,6%,18,0,0%,33,23%,110
10. 彰化縣,48,19,40%,35,0,0%,1,2%,145
11. 南投縣,20,7,35%,26,0,0%,1,5%,304
12. 雲林縣,56,26,46%,39,0,0%,5,9%,382
13. 嘉義縣,17,4,24%,13,0,0%,4,24%,98
14. 屏東縣,3,2,67%,9,0,0%,0,0%,88
15. 臺東縣,46,35,76%,51,0,0%,2,4%,29
16. 花蓮縣,29,6,21%,12,1,3%,3,10%,100
17. 澎湖縣,33,7,21%,34,5,15%,3,9%,129
18. 基隆市,43,14,33%,36,0,0%,4,9%,83
19. 新竹市,22,7,32%,13,0,0%,4,18%,94
20. 嘉義市,12,1,8%,11,2,17%,1,8%,41
21. 金門縣,59,6,10%,19,0,0%,1,2%,60
22. 連江縣,1,0,0%,2,0,0%,0,0%,36
總計,3327,1036,31%,1867,19,1%,225,7%,7447
