縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",3月底        在養數(隻)
新北市,482 ,537 ,111.41%,0 ,0.00%,28 ,5.81%,"1,131 "
臺北市,254 ,221 ,87.01%,0 ,0.00%,5 ,1.97%,770 
臺中市,572 ,276 ,48.25%,6 ,1.05%,58 ,10.14%,647 
臺南市,815 ,466 ,57.18%,0 ,0.00%,16 ,1.96%,394 
高雄市,399 ,237 ,59.40%,0 ,0.00%,40 ,10.03%,738 
桃園市,187 ,181 ,96.79%,6 ,3.21%,10 ,5.35%,372 
宜蘭縣,74 ,47 ,63.51%,9 ,12.16%,24 ,32.43%,218 
新竹縣,31 ,33 ,106.45%,0 ,0.00%,3 ,9.68%,34 
苗栗縣,93 ,26 ,27.96%,1 ,1.08%,6 ,6.45%,99 
彰化縣,22 ,44 ,200.00%,0 ,0.00%,0 ,0.00%,105 
南投縣,41 ,21 ,51.22%,0 ,0.00%,6 ,14.63%,323 
雲林縣,123 ,48 ,39.02%,0 ,0.00%,6 ,4.88%,351 
嘉義縣,29 ,29 ,100.00%,0 ,0.00%,2 ,6.90%,95 
屏東縣,15 ,23 ,153.33%,0 ,0.00%,0 ,0.00%,160 
臺東縣,57 ,52 ,91.23%,0 ,0.00%,0 ,0.00%,22 
花蓮縣,41 ,36 ,87.80%,0 ,0.00%,1 ,2.44%,94 
澎湖縣,41 ,15 ,36.59%,8 ,19.51%,4 ,9.76%,128 
基隆市,45 ,51 ,113.33%,0 ,0.00%,1 ,2.22%,69 
新竹市,51 ,35 ,68.63%,1 ,1.96%,2 ,3.92%,90 
嘉義市,28 ,14 ,50.00%,0 ,0.00%,1 ,3.57%,22 
金門縣,68 ,24 ,35.29%,0 ,0.00%,1 ,1.47%,47 
連江縣,2 ,8 ,400.00%,0 ,0.00%,0 ,0.00%,32 
合計,"3,470 ","2,424 ",69.86%,31 ,0.89%,214 ,6.17%,"5,941 "
